seed,walletId,edition
ooU8CrAGL3ASBUMaAhfB3R9a5T3m4V6TEVVDzmiYoMmCGXwvhJo,tz1UZGPJtRLsNyYUuYyQU9DSepSF13XxYxFk,1
ooa8PHz6zA8toZ4FBac7H972oupjbSpq8SQGFTaMuDL3dXQb2q7,tz1fhd4k1jSJRRcNVbkMwVzkKEhX3kzApsfk,2
opW8eZwer244UHaYBtPNEWz6LLNfrpyjZNcu9GTJMHuHqEb7SL1,tz1ZTDCfahwoYqF6sJmxTmbtGDskPoAateJX,3
oneZnunCguSKwZMeN7TKmvsxQ1ZzyeHojuiQsSJycFnfEkrWbuj,tz2K1rDmszPuzVQYUcyDFxeSm7ZEJdDvhXx4,4
opaWJPFcyqQUpk2JdUaG3ry8C5gkJHMo97PSS6tZFk9Skrcidfg,tz1KseWbS7f7YQhGsGP8QmXDJyzrKV71xxyj,5
oobGxJDksDQZqGkcHcVRajzmAu8DDoEix7i2fXBchdAAh5XAdsp,tz1Xxc5xZmEaz8xJ8STdBZ9CXHHxTsA6eyFT,6
opCby8nsd2jxF3SFrjVMUfdenNMP3dVEF1mvLvi3rCr5saUErNp,tz1TSWEDs9wcBx2KiRzVzyzECsNpRiZaLJ1D,7
opD9PnSLY9b5Eqe1r5cNAFVGA3Xt1FXviQArnZ3Z7AzN9qdrFoV,tz1NKHjwrYfg7GWwbWZ3bvdejkVL34De72Pz,8
oo3o7GRmekzo153w2zLN9TyMZsTUJEiBrwkKuNE2em85f6unFEP,tz1cbhmVZuFTKHcACSFpg5ER1bGVGkanhrbW,9
onzFVkvDf5feHKrvY1fwga3vr9YTAcUdb2aJYwuHfuGCRnZiRBH,tz1WRVgKHfkZvuEymYgHTFZ9ck5wNBQ4GQzC,10
oomLi3xMVkV3ZpZBQHwoK1yN2ayBuRpQRsLU7Y98sXukQ89QKD6,tz1TVa5tuFYt1wnUL2EZoZ5qknWLPhYrrGMa,11
op7CfeSWtZvHut2H33D18TRkxJXywSiGRYPeHBUTc8pwoJUpipM,tz1RJaJXwrqyjUtWyXqcybX77yUKHj8j3oyL,12
onktvWNLMWiTYsDtAze9z2NzGoTRuu98homJGvLgceygE14TLqG,tz1aRPbvjrtvt7wC9352giq3LhWpH3s8NoBv,13
ooE6Te1Cuh9Q9NPv4W5aJURRcWoNYjf9JUNDvVKLw8s8nJRakoK,tz1Y9XuoJJqQgNxVVesix1RLvn2k94JxD92Q,14
ooE6Te1Cuh9Q9NPv4W5aJURRcWoNYjf9JUNDvVKLw8s8nJRakoK_2,tz1Y9XuoJJqQgNxVVesix1RLvn2k94JxD92Q,15
onhzEL2sG9hWM5y1YhMQroSicBWiMSqFsD76MtTRiqeq283JyLZ,tz1g7Aaac9ssD7cDUTngyXyx8QiVUsAVZCjQ,16
oowZsif3iKoLjRrrcBRShhbb7YusonukjSKA3n5EMaJNrrVSc2v,tz1gsrd3CfZv4BfPnYKq5pKpHGFVdtGCgd71,17
opFcVfcjDULwYFXyF6f5fDq5jtuhw4vz2bNYn9EEhJ9h5SaNgNt,tz1PB9bzCecPNF9Tp6Gy6KunwxxFA7wqJ4E6,18
